DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend,IsHoliday,HolidayName,SpecialDays,FinancialYear,FinancialQuater,FinancialMonth,FirstDateofYear,LastDateofYear,FirstDateofQuater,LastDateofQuater,FirstDateofMonth,LastDateofMonth,FirstDateofWeek,LastDateofWeek,CurrentYear,CurrentQuater,CurrentMonth,CurrentWeek,CurrentDay
20211225,2021-12-25,25,th,7,Saturday,SAT,S,25,359,4,52,12,December,DEC,D,4,fourth,2021,122021,2021DEC,True,True,Christmas,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-19,2021-12-25,-1,-1,-3,-11,-71
20211226,2021-12-26,26,th,1,Sunday,SUN,S,26,360,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,True,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-70
20211227,2021-12-27,27,th,2,Monday,MON,M,27,361,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,False,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-69
20211228,2021-12-28,28,th,3,Tuesday,TUE,T,28,362,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,False,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-68
20211229,2021-12-29,29,th,4,Wednesday,WED,W,29,363,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,False,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-67
20211230,2021-12-30,30,th,5,Thursday,THU,T,30,364,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,False,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-66
20211231,2021-12-31,31,st,6,Friday,FRI,F,31,365,5,53,12,December,DEC,D,4,fourth,2021,122021,2021DEC,False,False,,,,,,2021-01-01,2021-12-31,2022-01-01,2022-03-31,2021-12-01,2021-12-31,2021-12-26,2022-01-01,-1,-1,-3,-10,-65
20220101,2022-01-01,1,st,7,Saturday,SAT,S,1,1,1,1,1,January,JAN,J,1,First,2022,012022,2022JAN,True,False,,,,,,2022-01-01,2022-12-31,2022-01-01,2022-03-31,2022-01-01,2022-01-31,2021-12-26,2022-01-01,0,0,-2,-10,-64
20220102,2022-01-02,2,nd,1,Sunday,SUN,S,2,2,2,2,1,January,JAN,J,1,First,2022,012022,2022JAN,True,False,,,,,,2022-01-01,2022-12-31,2022-01-01,2022-03-31,2022-01-01,2022-01-31,2022-01-02,2022-01-08,0,0,-2,-9,-63
20220103,2022-01-03,3,rd,2,Monday,MON,M,3,3,2,2,1,January,JAN,J,1,First,2022,012022,2022JAN,False,False,,,,,,2022-01-01,2022-12-31,2022-01-01,2022-03-31,2022-01-01,2022-01-31,2022-01-02,2022-01-08,0,0,-2,-9,-62
