DateReceived,CourierID,CourierStatus,OrderStatus,GuideStatus,ModelStatus,DoctorName,ROI,UpperArch,LowerArch,GuideReprintJustification,LastUpdate,RadiologyService,ConversionService,PrintService,TreatmentService,GuideService,AnatomicCase,WaxupDesignStatus,BillingStatus,EstimatedTotal,DateTreatmentPlanned,DateScheduledForReview,DatePendingApproval,DateOnHold,DateOnOrder,DateReadyToPrint,DatePrinting,DateReadyToDesign,DateWaxupDesigned,DateDesigned,DateComponentsReceived,DateShipped,DateSTLShared,ApprovalReviewDate,LineItems,taxtotal,shippingcost,IsRush
1/25/2022,51,Completed,Image Only/No Guide,No Guide,,Doctor B,Jan-32,16,16,NA,1/28/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Billed,80,,,,,,,,,,,,,,,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11684923, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""108"", ""name"": ""RRpt""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 80.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""13"", ""name"": ""$80 Rad Read""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Comprehensive Radiology Review"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
02/02/2022,54,Completed,Doctor Hold,Model Status,Waiting on Model,Doctor AIP,3,1,0,NA,2/14/2022,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,Pending Billing,0,02/03/2022,02/10/2022,,2/14/2022,,,,,,,,,,2/14/2022,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11713156, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""111"", ""name"": ""Tx1""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 0.0, ""amount"": 0.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""16"", ""name"": ""Valet Service""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""TxVision Single Arch - Case Planning"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
1/26/2022,56,Completed,Doctor Hold,Model Status,Model Matching,Doctor C,13,1,0,NA,2/28/2022,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,Pending Fulfillment,180,1/26/2022,,,1/27/2022,,,,,,,,,,1/27/2022,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11688457, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": 0.0, ""item"": {""internalid"": ""327"", ""name"": ""ipsSG""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 0.0, ""amount"": 150.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""360ips Surgical Guide"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}, {""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11688458, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""111"", ""name"": ""Tx1""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 2, ""percentcomplete"": 0.0, ""amount"": 0.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""16"", ""name"": ""Valet Service""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""TxVision Single Arch - Case Planning"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,30,FALSE
2/14/2022,58,Completed,Doctor Hold,Model Status,Waiting on Model,Doctor AIP,13,1,0,NA,2/21/2022,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,Pending Billing,0,2/15/2022,2/16/2022,,2/21/2022,,,,,,,,,,2/21/2022,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11752902, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""111"", ""name"": ""Tx1""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 0.0, ""amount"": 0.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""16"", ""name"": ""Valet Service""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""TxVision Single Arch - Case Planning"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
2/22/2022,63,Received,Image Only/No Guide,No Guide,,Doctor AIP,Jan-32,16,16,NA,2/25/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Billed,85,,,,,,,,,,,,,,,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11781812, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""108"", ""name"": ""RRpt""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 85.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Comprehensive Radiology Review"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
2/22/2022,65,Received,Image Only/No Guide,No Guide,,Doctor AIP,Jan-32,16,16,NA,2/25/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Billed,85,,,,,,,,,,,,,,,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11781647, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""108"", ""name"": ""RRpt""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 85.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Comprehensive Radiology Review"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
01/03/2022,4241,Completed,Image Only/No Guide,No Guide,,Doctor Zulu,Jan-32,16,16,NA,01/04/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Billed,80,,,,,,,,,,,,,,,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11599889, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""108"", ""name"": ""RRpt""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 80.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""13"", ""name"": ""$80 Rad Read""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Comprehensive Radiology Review"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
01/03/2022,4248,Completed,Completed,Shipped *,Model Matched,Doctor Zulu,31,0,1,NA,01/05/2022,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Billed,180,,,01/03/2022,,01/03/2022,01/04/2022,01/05/2022,01/04/2022,,,,01/05/2022,,01/03/2022,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11600322, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": 1.0, ""item"": {""internalid"": ""327"", ""name"": ""ipsSG""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 150.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""360ips Surgical Guide"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}, {""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11607330, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": 1.0, ""item"": {""internalid"": ""986"", ""name"": ""ips Box 360""}, ""quantitybackordered"": 0.0, ""isclosed"": false, ""quantitycommitted"": 0.0, ""line"": 13, ""percentcomplete"": 100.0, ""amount"": 0.0, ""quantityavailable"": 606.0, ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""ips Guide Box with foam from 360imaging (Red)"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}, {""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11607331, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": 1.0, ""item"": {""internalid"": ""804"", ""name"": ""BSB5.02""}, ""quantitybackordered"": 0.0, ""isclosed"": false, ""quantitycommitted"": 0.0, ""line"": 14, ""percentcomplete"": 100.0, ""amount"": 0.0, ""quantityavailable"": 226.0, ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Blue Sky Bio 5.02mm Guide Sleeve (for Straumann / Implant Direct)"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,30,FALSE
01/03/2022,4254,Completed,Completed,No Guide,Waiting on Model,Doctor AIP,"6, 8",2,0,NA,1/17/2022,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,Closed,0,,,,,,,,,,,,,,01/05/2022,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11601164, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": true}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 0.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""111"", ""name"": ""Tx1""}, ""quantitybackordered"": 0.0, ""isclosed"": true, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 0.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""16"", ""name"": ""Valet Service""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""TxVision Single Arch - Case Planning"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}, {""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11601165, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 0.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""330"", ""name"": ""TxA""}, ""quantitybackordered"": 0.0, ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 2, ""percentcomplete"": 100.0, ""amount"": 0.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 0.0, ""price"": {""internalid"": ""16"", ""name"": ""Valet Service""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Treatment Planning fees for each additional implant over the first  "", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
01/03/2022,4259,Completed,Image Only/No Guide,No Guide,,Doctor Zulu,31,0,1,NA,01/04/2022,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Billed,85,,,,,,,,,,,,,,,"{""item"": [{""value"": {""department"": ""null"", ""quantityremaining"": ""null"", ""matchbilltoreceipt"": ""null"", ""lineuniquekey"": 11601178, ""expectedreceiptdate"": ""null"", ""isbillable"": ""null"", ""expanditemgroup"": false, ""customfieldlist"": [{""value"": {""internalid"": ""266"", ""name"": ""custcol_price_edit"", ""value"": false}}], ""quantityonhand"": ""null"", ""costestimate"": ""null"", ""rate"": ""null"", ""quantity"": 1.0, ""quantityfulfilled"": ""null"", ""item"": {""internalid"": ""108"", ""name"": ""RRpt""}, ""quantitybackordered"": ""null"", ""isclosed"": false, ""quantitycommitted"": ""null"", ""line"": 1, ""percentcomplete"": 100.0, ""amount"": 85.0, ""quantityavailable"": ""null"", ""excludefromraterequest"": false, ""istaxable"": ""null"", ""quantitybilled"": 1.0, ""price"": {""internalid"": ""1"", ""name"": ""Base Price""}, ""orderdoc"": ""null"", ""orderline"": ""null"", ""quantityreceived"": ""null"", ""vendorname"": ""null"", ""costestimatetype"": ""null"", ""description"": ""Comprehensive Radiology Review"", ""createdpo"": ""null"", ""createpo"": ""null"", ""customer"": ""null"", ""billingschedule"": ""null"", ""taxrate1"": ""null"", ""taxcode"": {""internalid"": ""-8"", ""name"": ""-Not Taxable-""}, ""commitinventory"": ""null"", ""billreceiptslist"": ""null"", ""giftcertrecipientname"": ""null"", ""giftcertnumber"": ""null"", ""giftcertrecipientemail"": ""null"", ""giftcertmessage"": ""null"", ""giftcertfrom"": ""null"", ""isdropshipment"": ""null""}}], ""replaceall"": false}",0,0,FALSE
